Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"in the  world cup brazil earned its second title with garrincha as the star player a mantle and responsibility laid upon him after the regular talisman pel was injured during the second group match against czechoslovakia and unable to play for the rest of the tournament
",world cup brazil earned second title garrincha star player mantle responsibility laid regular talisman pel injured second group match czechoslovakia unable play rest tournament,8.12,"world,cup,brazil,earned,second,title,garrincha,star,player,mantle,responsibility,laid,regular,talisman,pel,injured,second,group,match,czechoslovakia,unable,play,rest,tournament",0.00,brazil
"in the  world cup brazil had their worst performance in a world cup the  tournament was remembered for its excessively physical play and pel was one of the players most affected against portugal several violent tackles by the portuguese defenders caused pel to leave the match and the tournament brazil lost this match and was eliminated in the first round of the world cup for the first time since  they have not failed to reach the knockout stages of the competition since brazil became the second nation to be eliminated in the first round while holding the world cup crown following italy in  after the     and  world cups france italy spain and germany were also added to this list after the tournament pel declared that he did not wish to play in the world cup again nonetheless he returned in 
",world cup brazil worst performance world cup tournament remembered excessively physical play pel players affected portugal violent tackles portuguese defenders caused pel leave match tournament brazil lost match eliminated round world cup time failed reach knockout stages competition brazil second nation eliminated round holding world cup crown following italy world cups france italy spain germany added list tournament pel declared wish play world cup nonetheless returned,9.24,"world,cup,brazil,worst,performance,world,cup,tournament,remembered,excessively,physical,play,pel,players,affected,portugal,violent,tackles,portuguese,defenders,caused,pel,leave,match,tournament,brazil,lost,match,eliminated,round,world,cup,time,failed,reach,knockout,stages,competition,brazil,second,nation,eliminated,round,holding,world,cup,crown,following,italy,world,cups,france,italy,spain,germany,added,list,tournament,pel,declared,wish,play,world,cup,nonetheless,returned",0.00,brazil
"brazil won its third world cup in mexico in  it fielded what has since then often been considered the best world cup football squad ever led by pel in his last world cup finals captain carlos alberto torres jairzinho tosto grson and rivelino even though garrincha had retired this team was still a force to be reckoned with they won all six of their gamesagainst czechoslovakia england and romania during group play and against peru uruguay and italy in the knockout rounds jairzinho was the second top scorer with seven goals and is the only player to score in every match in a world cup pel finished with four goals brazil lifted the jules rimet trophy for the third time  which meant that they were allowed to keep it a replacement was then commissioned though it would be  years before brazil won it again
",brazil world cup mexico fielded considered best world cup football squad led pel world cup finals captain carlos alberto torres jairzinho tosto grson rivelino garrincha retired team force reckoned gamesagainst czechoslovakia england romania group play peru uruguay italy knockout rounds jairzinho second scorer seven goals player score match world cup pel finished goals brazil lifted jules rimet trophy time meant allowed replacement commissioned years brazil,9.75,"brazil,world,cup,mexico,fielded,considered,best,world,cup,football,squad,led,pel,world,cup,finals,captain,carlos,alberto,torres,jairzinho,tosto,grson,rivelino,garrincha,retired,team,force,reckoned,gamesagainst,czechoslovakia,england,romania,group,play,peru,uruguay,italy,knockout,rounds,jairzinho,second,scorer,seven,goals,player,score,match,world,cup,pel,finished,goals,brazil,lifted,jules,rimet,trophy,time,meant,allowed,replacement,commissioned,years,brazil",0.00,brazil
"after the international retirement of pel and other stars from the  squad brazil was not able to overcome the netherlands at the  world cup in west germany and finished in fourth place after losing the third place game to poland
",international retirement pel stars squad brazil able overcome netherlands world cup west germany finished fourth place losing place game poland,8.73,"international,retirement,pel,stars,squad,brazil,able,overcome,netherlands,world,cup,west,germany,finished,fourth,place,losing,place,game,poland",0.00,brazil
"in the second group stage of the  world cup brazil competed with tournament hosts argentina for top spot and a place in the finals in their last group match brazil defeated poland  to go to the top of the group with a goal difference of  argentina had had a goal difference of  but in its last group match it defeated peru  and thus qualified for the final in a match accused of ultimately unproven match fixing brazil subsequently beat italy in the third place play off and were the only team to remain unbeaten in the tournament
",second group stage world cup brazil competed tournament hosts argentina spot place finals group match brazil defeated poland group goal difference argentina goal difference group match defeated peru qualified final match accused ultimately unproven match fixing brazil subsequently beat italy place play team remain unbeaten tournament,9.60,"second,group,stage,world,cup,brazil,competed,tournament,hosts,argentina,spot,place,finals,group,match,brazil,defeated,poland,group,goal,difference,argentina,goal,difference,group,match,defeated,peru,qualified,final,match,accused,ultimately,unproven,match,fixing,brazil,subsequently,beat,italy,place,play,team,remain,unbeaten,tournament",0.00,brazil
"at the  world cup held in spain brazil were the tournament favorites and easily moved through the early part of the draw but a  defeat in barcelona to italy in a classic world cup match eliminated them from the tournament in the match that they refer to as sarris tragedy referencing the stadiums name the  team with a midfield of scrates zico falco and der is remembered as perhaps the greatest team never to win a world cup
",world cup held spain brazil tournament favorites easily moved early draw defeat barcelona italy classic world cup match eliminated tournament match refer sarris tragedy referencing stadiums team midfield scrates zico falco der remembered greatest team win world cup,9.39,"world,cup,held,spain,brazil,tournament,favorites,easily,moved,early,draw,defeat,barcelona,italy,classic,world,cup,match,eliminated,tournament,match,refer,sarris,tragedy,referencing,stadiums,team,midfield,scrates,zico,falco,der,remembered,greatest,team,win,world,cup",0.00,brazil
"several players including scrates and zico from  returned to play at the  world cup in mexico brazil still a very good team and more disciplined defensively than four years earlier met the michel platini led france in the quarter finals in a classic of total football the game played to a  draw in regulation time and after a goalless extra time it all came down to a penalty shoot out where brazil was defeated 
",players including scrates zico returned play world cup mexico brazil good team disciplined defensively years earlier met michel platini led france quarter finals classic total football game played draw regulation time goalless extra time came penalty shoot brazil defeated,8.47,"players,including,scrates,zico,returned,play,world,cup,mexico,brazil,good,team,disciplined,defensively,years,earlier,met,michel,platini,led,france,quarter,finals,classic,total,football,game,played,draw,regulation,time,goalless,extra,time,came,penalty,shoot,brazil,defeated",0.00,brazil
"after a  year hiatus brazil was victorious in the  copa amrica this being their fourth victory in four tournaments hosted in brazil this achievement ended brazils  year streak absent a championship the last one had been in the  world cup
",year hiatus brazil victorious copa amrica fourth victory tournaments hosted brazil achievement ended brazils year streak absent championship world cup,8.40,"year,hiatus,brazil,victorious,copa,amrica,fourth,victory,tournaments,hosted,brazil,achievement,ended,brazils,year,streak,absent,championship,world,cup",0.00,brazil
"at the  world cup in italy brazil was coached by sebastio lazaroni that had been the coach in the  copa amrica with a defensive scheme whose main symbol was midfielder dunga forward careca and three centre backs the team lacked creativity but made it to the second round brazil was eliminated by diego maradona led argentina in the round of  in turin losing to their south american archrivals 
",world cup italy brazil coached sebastio lazaroni coach copa amrica defensive scheme main symbol midfielder dunga forward careca centre backs team lacked creativity second round brazil eliminated diego maradona led argentina round turin losing south american archrivals,7.87,"world,cup,italy,brazil,coached,sebastio,lazaroni,coach,copa,amrica,defensive,scheme,main,symbol,midfielder,dunga,forward,careca,centre,backs,team,lacked,creativity,second,round,brazil,eliminated,diego,maradona,led,argentina,round,turin,losing,south,american,archrivals",0.00,brazil
"brazil went  years without winning a world cup or even participating in a final their struggles ended at the  tournament in the united states where a solid side headed by romrio and bebeto in attack captain dunga in midfield goalkeeper cludio taffarel and defender jorginho won the world cup for a then record fourth time highlights of their campaign included a  victory over the united states in the round of  at stanford university a  win over the netherlands in the quarter finals in dallas and a  victory over sweden in the semi finals at pasadenas rose bowl this set up brazilitaly in the final in pasadena a game played in searing heat which ended as a goalless draw with italys defence led by franco baresi keeping out romrio penalty kicks loomed and brazil became champions with roberto baggio missing italys last penalty despite the triumph the  world cup winning team is not held in the same high esteem in brazil as their other world cup winning teams fourfourtwo magazine labelled the  team unloved in brazil due to their pragmatic defensive style over the more typical brazilian style of attacking flair
",brazil went years winning world cup participating final struggles ended tournament united states solid headed romrio bebeto attack captain dunga midfield goalkeeper cludio taffarel defender jorginho world cup record fourth time highlights campaign included victory united states round stanford university win netherlands quarter finals dallas victory sweden semi finals pasadenas rose bowl set brazilitaly final pasadena game played searing heat ended goalless draw italys defence led franco baresi keeping romrio penalty kicks loomed brazil champions roberto baggio missing italys penalty despite triumph world cup winning team held high esteem brazil world cup winning teams fourfourtwo magazine labelled team unloved brazil pragmatic defensive style typical brazilian style attacking flair,7.34,"brazil,went,years,winning,world,cup,participating,final,struggles,ended,tournament,united,states,solid,headed,romrio,bebeto,attack,captain,dunga,midfield,goalkeeper,cludio,taffarel,defender,jorginho,world,cup,record,fourth,time,highlights,campaign,included,victory,united,states,round,stanford,university,win,netherlands,quarter,finals,dallas,victory,sweden,semi,finals,pasadenas,rose,bowl,set,brazilitaly,final,pasadena,game,played,searing,heat,ended,goalless,draw,italys,defence,led,franco,baresi,keeping,romrio,penalty,kicks,loomed,brazil,champions,roberto,baggio,missing,italys,penalty,despite,triumph,world,cup,winning,team,held,high,esteem,brazil,world,cup,winning,teams,fourfourtwo,magazine,labelled,team,unloved,brazil,pragmatic,defensive,style,typical,brazilian,style,attacking,flair",0.00,brazil
"entering the  world cup as defending champions brazil finished runner up having topped their group and won the next two rounds brazil beat the netherlands on penalties in the semi final following a  draw player of the tournament ronaldo scored four goals and made three assists en route to the final the build up to the final itself was overshadowed by ronaldo suffering a convulsive fit only hours before kick off the starting line up without ronaldo was released to a shocked world media but after pleading that he felt fine and requested to play ronaldo was reinstated by the coach before giving a below par performance as france led by zidane won 
",entering world cup defending champions brazil finished runner topped group rounds brazil beat netherlands penalties semi final following draw player tournament ronaldo scored goals assists en route final build final overshadowed ronaldo suffering convulsive fit hours kick starting line ronaldo released shocked world media pleading felt fine requested play ronaldo reinstated coach giving par performance france led zidane,8.44,"entering,world,cup,defending,champions,brazil,finished,runner,topped,group,rounds,brazil,beat,netherlands,penalties,semi,final,following,draw,player,tournament,ronaldo,scored,goals,assists,en,route,final,build,final,overshadowed,ronaldo,suffering,convulsive,fit,hours,kick,starting,line,ronaldo,released,shocked,world,media,pleading,felt,fine,requested,play,ronaldo,reinstated,coach,giving,par,performance,france,led,zidane",0.00,brazil
"fuelled by the three rs  brazil won its fifth championship at the  world cup held in south korea and japan brazil beat all three opponents in group play in south korea and topped the group in brazils opening game against turkey in ulsan rivaldo fell to the ground clutching his face after turkeys hakan nsal had kicked the ball at his legs rivaldo escaped suspension but was fined  for play acting and became the first player ever to be punished in fifas crackdown on diving in their knockout round matches in japan brazil defeated belgium  in kobe in the round of  brazil defeated england  in the quarter finals in shizuoka with the winning goal coming from an unexpected free kick by ronaldinho from  yards out the semi final was against turkey in saitama brazil won  the final was between germany and brazil in yokohama where ronaldo scored two goals in brazils  triumph ronaldo also won the golden shoe as the tournaments leading scorer with  goals brazils success saw them receive the laureus world sports award for team of the year
",fuelled rs brazil fifth championship world cup held south korea japan brazil beat opponents group play south korea topped group brazils opening game turkey ulsan rivaldo fell ground clutching face turkeys hakan nsal kicked ball legs rivaldo escaped suspension fined play acting player punished fifas crackdown diving knockout round matches japan brazil defeated belgium kobe round brazil defeated england quarter finals shizuoka winning goal coming unexpected free kick ronaldinho yards semi final turkey saitama brazil final germany brazil yokohama ronaldo scored goals brazils triumph ronaldo golden shoe tournaments leading scorer goals brazils success saw receive laureus world sports award team year,7.61,"fuelled,rs,brazil,fifth,championship,world,cup,held,south,korea,japan,brazil,beat,opponents,group,play,south,korea,topped,group,brazils,opening,game,turkey,ulsan,rivaldo,fell,ground,clutching,face,turkeys,hakan,nsal,kicked,ball,legs,rivaldo,escaped,suspension,fined,play,acting,player,punished,fifas,crackdown,diving,knockout,round,matches,japan,brazil,defeated,belgium,kobe,round,brazil,defeated,england,quarter,finals,shizuoka,winning,goal,coming,unexpected,free,kick,ronaldinho,yards,semi,final,turkey,saitama,brazil,final,germany,brazil,yokohama,ronaldo,scored,goals,brazils,triumph,ronaldo,golden,shoe,tournaments,leading,scorer,goals,brazils,success,saw,receive,laureus,world,sports,award,team,year",0.00,brazil
"brazil won the  copa amrica their third win in four competitions since 
brazil also won the  fifa confederations cup for the second time manager carlos alberto parreira built his side through a  formation nicknamed the magic quartet the attack was built around four players ronaldo adriano kak and ronaldinho
",brazil copa amrica win competitions brazil fifa confederations cup second time manager carlos alberto parreira built formation nicknamed magic quartet attack built players ronaldo adriano kak ronaldinho,7.12,"brazil,copa,amrica,win,competitions,brazil,fifa,confederations,cup,second,time,manager,carlos,alberto,parreira,built,formation,nicknamed,magic,quartet,attack,built,players,ronaldo,adriano,kak,ronaldinho",0.00,brazil
"in the  world cup brazil won its first two games against croatia  and australia  in the final group game against japan brazil won  ronaldo scored twice and equalled the record for the most goals scored across all world cups in the round of  brazil beat ghana  ronaldos goal was his th in world cup history breaking the record brazil however was eliminated in the quarter finals against france losing  to a thierry henry goal
",world cup brazil games croatia australia final group game japan brazil ronaldo scored twice equalled record goals scored world cups round brazil beat ghana ronaldos goal th world cup history breaking record brazil eliminated quarter finals france losing thierry henry goal,7.76,"world,cup,brazil,games,croatia,australia,final,group,game,japan,brazil,ronaldo,scored,twice,equalled,record,goals,scored,world,cups,round,brazil,beat,ghana,ronaldos,goal,th,world,cup,history,breaking,record,brazil,eliminated,quarter,finals,france,losing,thierry,henry,goal",0.00,brazil
"dunga was hired as brazils new team manager in  brazil then won the  copa amrica where forward robinho was awarded the golden boot and named the tournaments best player two years later brazil won the  fifa confederations cup defeating the yous  in the final to seal their third confederations cup title kak was named as the player of the tournament while striker lus fabiano won the top goalscorer award
",dunga hired brazils new team manager brazil copa amrica forward robinho awarded golden boot named tournaments best player years later brazil fifa confederations cup defeating yous final seal confederations cup title kak named player tournament striker lus fabiano goalscorer award,7.18,"dunga,hired,brazils,new,team,manager,brazil,copa,amrica,forward,robinho,awarded,golden,boot,named,tournaments,best,player,years,later,brazil,fifa,confederations,cup,defeating,yous,final,seal,confederations,cup,title,kak,named,player,tournament,striker,lus,fabiano,goalscorer,award",0.00,brazil
"at the  world cup in south africa brazil won their first two matches against north korea  and the ivory coast  respectively their last match against portugal ended in a  draw they faced chile in the round of  winning  although in the quarter final they fell to the netherlands 
",world cup south africa brazil matches north korea ivory coast respectively match portugal ended draw faced chile round winning quarter final fell netherlands,8.99,"world,cup,south,africa,brazil,matches,north,korea,ivory,coast,respectively,match,portugal,ended,draw,faced,chile,round,winning,quarter,final,fell,netherlands",0.00,brazil
"in july  mano menezes was named as brazils new coach at the  copa amrica brazil lost against paraguay and was eliminated in the quarter finals on  july  due to a lack of competitive matches because the team had automatically qualified for the  world cup as tournament hosts brazil was ranked th in the fifa ranking
",july mano menezes named brazils new coach copa amrica brazil lost paraguay eliminated quarter finals july lack competitive matches team automatically qualified world cup tournament hosts brazil ranked th fifa ranking,7.62,"july,mano,menezes,named,brazils,new,coach,copa,amrica,brazil,lost,paraguay,eliminated,quarter,finals,july,lack,competitive,matches,team,automatically,qualified,world,cup,tournament,hosts,brazil,ranked,th,fifa,ranking",0.00,brazil
"on  june  brazil was ranked nd in the fifa ranking their lowest ever rank brazil entered the  confederations cup with the objective of defending their title in the final brazil faced spain winning  and sealing their fourth confederations cup title neymar was named player of the tournament and received the golden ball award and the adidas bronze shoe and jlio csar won the golden glove award for the best goalkeeper of the tournament
",june brazil ranked nd fifa ranking lowest rank brazil entered confederations cup objective defending title final brazil faced spain winning sealing fourth confederations cup title neymar named player tournament received golden ball award adidas bronze shoe jlio csar golden glove award best goalkeeper tournament,6.67,"june,brazil,ranked,nd,fifa,ranking,lowest,rank,brazil,entered,confederations,cup,objective,defending,title,final,brazil,faced,spain,winning,sealing,fourth,confederations,cup,title,neymar,named,player,tournament,received,golden,ball,award,adidas,bronze,shoe,jlio,csar,golden,glove,award,best,goalkeeper,tournament",0.00,brazil
"in the opening match of the  world cup against croatia two goals from neymar and one from oscar saw the seleo off to a winning start in their first world cup on home soil in  years the team then drew with mexico before confirming qualification to the knockout stage by defeating cameroon  with neymar again scoring twice and fred and fernandinho providing further goals brazil faced chile in the round of  taking an th minute lead through david luizs first goal for the seleo in a  draw brazil prevailed  on penalties with neymar david luiz and marcelo converting their kicks and goalkeeper jlio csar saving three times
",opening match world cup croatia goals neymar oscar saw seleo winning start world cup home soil years team drew mexico confirming qualification knockout stage defeating cameroon neymar scoring twice fred fernandinho providing goals brazil faced chile round taking th minute lead david luizs goal seleo draw brazil prevailed penalties neymar david luiz marcelo converting kicks goalkeeper jlio csar saving times,7.58,"opening,match,world,cup,croatia,goals,neymar,oscar,saw,seleo,winning,start,world,cup,home,soil,years,team,drew,mexico,confirming,qualification,knockout,stage,defeating,cameroon,neymar,scoring,twice,fred,fernandinho,providing,goals,brazil,faced,chile,round,taking,th,minute,lead,david,luizs,goal,seleo,draw,brazil,prevailed,penalties,neymar,david,luiz,marcelo,converting,kicks,goalkeeper,jlio,csar,saving,times",0.00,brazil
"the team again faced south american opposition in the quarter final defeating colombia  with goals from central defenders david luiz and the team captain thiago silva late in the match neymar was stretchered off after juan camilo zigas knee had made contact with the forwards back neymar was taken to hospital and was diagnosed with a fractured vertebra ruling him out for the remainder of the tournament prior to this neymar had scored four goals provided one assist and been named man of the match twice brazil faced further problems ahead of their semi final against germany as thiago silva was to serve a one match suspension for receiving his second yellow card of the tournament in the quarter final
",team faced south american opposition quarter final defeating colombia goals central defenders david luiz team captain thiago silva late match neymar stretchered juan camilo zigas knee contact forwards neymar taken hospital diagnosed fractured vertebra ruling remainder tournament prior neymar scored goals provided assist named man match twice brazil faced problems ahead semi final germany thiago silva serve match suspension receiving second yellow card tournament quarter final,7.65,"team,faced,south,american,opposition,quarter,final,defeating,colombia,goals,central,defenders,david,luiz,team,captain,thiago,silva,late,match,neymar,stretchered,juan,camilo,zigas,knee,contact,forwards,neymar,taken,hospital,diagnosed,fractured,vertebra,ruling,remainder,tournament,prior,neymar,scored,goals,provided,assist,named,man,match,twice,brazil,faced,problems,ahead,semi,final,germany,thiago,silva,serve,match,suspension,receiving,second,yellow,card,tournament,quarter,final",0.00,brazil
"the seleo went on to lose  to the germans  their biggest ever defeat at the world cup and first home loss in a competitive match since  towards the end of the match the home crowd began to old each pass from the german team and booed their own players off the pitch after the final whistle the match has been nicknamed the mineirazo making reference to the nations previous world cup defeat on home soil the maracanazo against uruguay in  and the estdio do mineiro where the match took place brazil subsequently lost  to the netherlands in the third place play off match the team ended the tournament with the worst defensive record of the  competing nations having conceded  goals the only other countries to concede  or more goals in the current world cup format are north korea and saudi arabia following these results scolari announced his resignation
",seleo went lose germans biggest defeat world cup home loss competitive match end match home crowd began old pass german team booed players pitch final whistle match nicknamed mineirazo making reference nations previous world cup defeat home soil maracanazo uruguay estdio mineiro match took place brazil subsequently lost netherlands place play match team ended tournament worst defensive record competing nations conceded goals countries concede goals current world cup format north korea saudi arabia following results scolari announced resignation,8.18,"seleo,went,lose,germans,biggest,defeat,world,cup,home,loss,competitive,match,end,match,home,crowd,began,old,pass,german,team,booed,players,pitch,final,whistle,match,nicknamed,mineirazo,making,reference,nations,previous,world,cup,defeat,home,soil,maracanazo,uruguay,estdio,mineiro,match,took,place,brazil,subsequently,lost,netherlands,place,play,match,team,ended,tournament,worst,defensive,record,competing,nations,conceded,goals,countries,concede,goals,current,world,cup,format,north,korea,saudi,arabia,following,results,scolari,announced,resignation",0.00,brazil
"on  july  dunga was announced as the new manager of brazil returning to the position for the first time since the teams exit at the  world cup
",july dunga announced new manager brazil returning position time teams exit world cup,9.79,"july,dunga,announced,new,manager,brazil,returning,position,time,teams,exit,world,cup",0.00,brazil
"dungas first match in his second reign as brazils manager was a friendly match against  world cup quarter finalists colombia at sun life stadium in miami on  september  with brazil winning the match  through an rd minute neymar free kick goal dunga followed this up with wins against ecuador  in the  superclsico de las amricas against argentina  against japan  against turkey  and against austria  dunga continued brazils winning streak in  by defeating france  in another friendly they followed this with wins against chile  mexico  and honduras 
",dungas match second reign brazils manager friendly match world cup quarter finalists colombia sun life stadium miami september brazil winning match rd minute neymar free kick goal dunga followed wins ecuador superclsico de las amricas argentina japan turkey austria dunga continued brazils winning streak defeating france friendly followed wins chile mexico honduras,6.19,"dungas,match,second,reign,brazils,manager,friendly,match,world,cup,quarter,finalists,colombia,sun,life,stadium,miami,september,brazil,winning,match,rd,minute,neymar,free,kick,goal,dunga,followed,wins,ecuador,superclsico,de,las,amricas,argentina,japan,turkey,austria,dunga,continued,brazils,winning,streak,defeating,france,friendly,followed,wins,chile,mexico,honduras",0.00,brazil
"brazil started the tournament with a victory against peru after coming from behind by   followed by a  defeat against colombia and a  victory against venezuela in the knockout stage brazil faced paraguay and was eliminated after drawing  in normal time and losing  in the penalty shootout as such brazil was unable to qualify for a fifa confederations cup  for the first time in almost  years
",brazil started tournament victory peru coming followed defeat colombia victory venezuela knockout stage brazil faced paraguay eliminated drawing normal time losing penalty shootout brazil unable qualify fifa confederations cup time years,8.65,"brazil,started,tournament,victory,peru,coming,followed,defeat,colombia,victory,venezuela,knockout,stage,brazil,faced,paraguay,eliminated,drawing,normal,time,losing,penalty,shootout,brazil,unable,qualify,fifa,confederations,cup,time,years",0.00,brazil
