Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"however there were efforts by transport for cairo  to map the major bus routes and metro lines in cairo having this map in hand is useful
",efforts transport cairo map major bus routes metro lines cairo map hand useful,9.42,"efforts,transport,cairo,map,major,bus,routes,metro,lines,cairo,map,hand,useful",0.00,cairo
"also scheduling and route information of both the public cairo transportation authority  and mwasalat mirs  buses are now readily available on google transit and can be accessed using the google maps app and website
",scheduling route information public cairo transportation authority mwasalat mirs buses readily available google transit accessed google maps app website,6.94,"scheduling,route,information,public,cairo,transportation,authority,mwasalat,mirs,buses,readily,available,google,transit,accessed,google,maps,app,website",0.00,cairo
"persons carrying cabin sized pieces of luggage can use most of the public buses in cairo without having to pay for an extra ticket  there were plans to connect the line  of the cairo metro to the airport however these plans have been put on holdcitation needed the nearest metro stations are heliopolis square and adly mansour interchange station
",persons carrying cabin sized pieces luggage use public buses cairo pay extra ticket plans connect line cairo metro airport plans holdcitation needed nearest metro stations heliopolis square adly mansour interchange station,8.07,"persons,carrying,cabin,sized,pieces,luggage,use,public,buses,cairo,pay,extra,ticket,plans,connect,line,cairo,metro,airport,plans,holdcitation,needed,nearest,metro,stations,heliopolis,square,adly,mansour,interchange,station",0.00,cairo
"transit map for cairo metro and mwasalat misr buses provided by transport for cairo note that this map does not include the latest cairo metro expansions as line  now reaches heliopolis sq huckstepalhikestep and adly mansor interchange stations
",transit map cairo metro mwasalat misr buses provided transport cairo note map include latest cairo metro expansions line reaches heliopolis sq huckstepalhikestep adly mansor interchange stations,4.90,"transit,map,cairo,metro,mwasalat,misr,buses,provided,transport,cairo,note,map,include,latest,cairo,metro,expansions,line,reaches,heliopolis,sq,huckstepalhikestep,adly,mansor,interchange,stations",0.00,cairo
"with the exception of the so called  black and white cabs all regular cairo taxis  are equipped with digital taxi meters taxi drivers in cairo are legally required to switch on their taxi meters the moment they pick up a new client  however some taxi drivers will try to either manipulate how the meter counts the distance driven  or will remove the meter and force the customer to bargain for a price
",exception called black white cabs regular cairo taxis equipped digital taxi meters taxi drivers cairo legally required switch taxi meters moment pick new client taxi drivers try manipulate meter counts distance driven remove meter force customer bargain price,8.46,"exception,called,black,white,cabs,regular,cairo,taxis,equipped,digital,taxi,meters,taxi,drivers,cairo,legally,required,switch,taxi,meters,moment,pick,new,client,taxi,drivers,try,manipulate,meter,counts,distance,driven,remove,meter,force,customer,bargain,price",0.00,cairo
"an affordable and reliable form of private transport readily available in cairo are the popular ride sharing mobile phone app based services such as uber and careem which both accepts cash and card payments
",affordable reliable form private transport readily available cairo popular ride sharing mobile phone app based services uber careem accepts cash card payments,5.80,"affordable,reliable,form,private,transport,readily,available,cairo,popular,ride,sharing,mobile,phone,app,based,services,uber,careem,accepts,cash,card,payments",0.00,cairo
"several international car rental providers operate out of cairo international airport  and have offices both in terminals  and 
",international car rental providers operate cairo international airport offices terminals,6.25,"international,car,rental,providers,operate,cairo,international,airport,offices,terminals",0.00,cairo
"the airport can be reached via oroba road from heliopolis or via the new road connecting terminal  with the cairo ring road and suez road interchange the toll for driving into the airport grounds range from  to  egp depending on the type of the vehicle
",airport reached oroba road heliopolis new road connecting terminal cairo ring road suez road interchange toll driving airport grounds range egp depending type vehicle,8.30,"airport,reached,oroba,road,heliopolis,new,road,connecting,terminal,cairo,ring,road,suez,road,interchange,toll,driving,airport,grounds,range,egp,depending,type,vehicle",0.00,cairo
"note cairo suez road is part of the arab mashreq international road network designated as the motorway m it connects cairo to suez south sinai through the ahmed hamdi tunnel under the suez canal then to israel via the taba border crossing jordan via the wadi araba crossing to saudi arabia via durra border crossing and then finally into iraq via the arar border crossing where the road ends in the capital baghdad to bypass crossing through the taba border crossing where an entry visa to israel may be required the majority of the intra arab road traffic  including cargo and trucking  uses the nuweiba  aqaba ferries
",note cairo suez road arab mashreq international road network designated motorway connects cairo suez south sinai ahmed hamdi tunnel suez canal israel taba border crossing jordan wadi araba crossing saudi arabia durra border crossing finally iraq arar border crossing road ends capital baghdad bypass crossing taba border crossing entry visa israel required majority intra arab road traffic including cargo trucking uses nuweiba aqaba ferries,6.94,"note,cairo,suez,road,arab,mashreq,international,road,network,designated,motorway,connects,cairo,suez,south,sinai,ahmed,hamdi,tunnel,suez,canal,israel,taba,border,crossing,jordan,wadi,araba,crossing,saudi,arabia,durra,border,crossing,finally,iraq,arar,border,crossing,road,ends,capital,baghdad,bypass,crossing,taba,border,crossing,entry,visa,israel,required,majority,intra,arab,road,traffic,including,cargo,trucking,uses,nuweiba,aqaba,ferries",0.00,cairo
" media related to cairo international airport at wikimedia commons
",media related cairo international airport wikimedia commons,2.99,"media,related,cairo,international,airport,wikimedia,commons",0.00,cairo
