Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the last and perhaps only lynching in athens occurred on february   when a mob of  people attacked the athens courthouse and carried off john lee eberhart eberhart had been arrested for the murder of his employer ida d lee with a shotgun in oconee county that night he was driven back to the lee farm where a mock trial was held though he refused to confess he was tied to a stake and burned to death the lynching received widespread attention
",lynching athens occurred february mob people attacked athens courthouse carried john lee eberhart eberhart arrested murder employer ida lee shotgun oconee county night driven lee farm mock trial held refused confess tied stake burned death lynching received widespread attention,9.46,"lynching,athens,occurred,february,mob,people,attacked,athens,courthouse,carried,john,lee,eberhart,eberhart,arrested,murder,employer,ida,lee,shotgun,oconee,county,night,driven,lee,farm,mock,trial,held,refused,confess,tied,stake,burned,death,lynching,received,widespread,attention",0.00,athens
"during world war ii the yous navy built new buildings and paved runways to serve as a training facility for naval pilots in  the yous navy chose athens as the site for the navy supply corps school the school was in normaltown in the buildings of the old normal school it closed in  under the base realignment and closure process the  acre  site is now home to the university of georgiamedical college of georgia medical partnership the university of georgia college of public health and other health related programs
",world war ii yous navy built new buildings paved runways serve training facility naval pilots yous navy chose athens site navy supply corps school school normaltown buildings old normal school closed base realignment closure process acre site home university georgiamedical college georgia medical partnership university georgia college public health health related programs,7.16,"world,war,ii,yous,navy,built,new,buildings,paved,runways,serve,training,facility,naval,pilots,yous,navy,chose,athens,site,navy,supply,corps,school,school,normaltown,buildings,old,normal,school,closed,base,realignment,closure,process,acre,site,home,university,georgiamedical,college,georgia,medical,partnership,university,georgia,college,public,health,health,related,programs",0.00,athens
"in  athens witnessed part of the civil rights movement when charlayne hunter and hamilton holmes became the first two black students to enter the university of georgia despite the brown vs board of education supreme court ruling in  the athensclarke county school district remained segregated until 
",athens witnessed civil rights movement charlayne hunter hamilton holmes black students enter university georgia despite brown vs board education supreme court ruling athensclarke county school district remained segregated,6.00,"athens,witnessed,civil,rights,movement,charlayne,hunter,hamilton,holmes,black,students,enter,university,georgia,despite,brown,vs,board,education,supreme,court,ruling,athensclarke,county,school,district,remained,segregated",0.00,athens
"athens lies within the humid subtropical climate zone with hot humid summers and mild to moderately cold winters annual rainfall averages  inches  light to moderate snowfall can occur in winter in the spring frequent thunderstorms can sometimes become severe even producing tornadoes the city itself sits on a series of anomalous hills unique to the piedmont region
",athens lies humid subtropical climate zone hot humid summers mild moderately cold winters annual rainfall averages inches light moderate snowfall occur winter spring frequent thunderstorms severe producing tornadoes city sits series anomalous hills unique piedmont region,5.74,"athens,lies,humid,subtropical,climate,zone,hot,humid,summers,mild,moderately,cold,winters,annual,rainfall,averages,inches,light,moderate,snowfall,occur,winter,spring,frequent,thunderstorms,severe,producing,tornadoes,city,sits,series,anomalous,hills,unique,piedmont,region",0.00,athens
"athens has a humid subtropical climate its climatic regime is in many ways typical of southeastern united states with hot summers transitioning into cool winters but with precipitation being consistently high throughout the year normal monthly temperatures range from  f  in january to  f  in july on average maxima reach  f  or higher and stay below  f  on  and  days annually and there are  days annually with a minimum at or below freezing
",athens humid subtropical climate climatic regime ways typical southeastern united states hot summers transitioning cool winters precipitation consistently high year normal monthly temperatures range f january f july average maxima reach f higher stay f days annually days annually minimum freezing,7.22,"athens,humid,subtropical,climate,climatic,regime,ways,typical,southeastern,united,states,hot,summers,transitioning,cool,winters,precipitation,consistently,high,year,normal,monthly,temperatures,range,f,january,f,july,average,maxima,reach,f,higher,stay,f,days,annually,days,annually,minimum,freezing",0.00,athens
"the large population increase from  to  reflects the altered boundaries that came with the consolidation of athens and clarke county not just the influx of new residents
",large population increase reflects altered boundaries came consolidation athens clarke county influx new residents,7.65,"large,population,increase,reflects,altered,boundaries,came,consolidation,athens,clarke,county,influx,new,residents",0.00,athens
"in  the city of athens and clarke county voters voted to unify their governments becoming only the second unified government in georgia and the th nationwide
",city athens clarke county voters voted unify governments second unified government georgia th nationwide,7.59,"city,athens,clarke,county,voters,voted,unify,governments,second,unified,government,georgia,th,nationwide",0.00,athens
"the athens clarke county police department  was formed by the merger of the law enforcement agencies of the city of athens and clarke county as of february update cleveland lee spruill sr was sworn in as the new chief of police accpd is accredited by the commission on accreditation for law enforcement agencies  and was named a gold standard agency in  accpds  communications center is also calea certified and has reached gold standard status accpd is also the first law enforcement agency certified by the state of georgia
",athens clarke county police department formed merger law enforcement agencies city athens clarke county february update cleveland lee spruill sr sworn new chief police accpd accredited commission accreditation law enforcement agencies named gold standard agency accpds communications center calea certified reached gold standard status accpd law enforcement agency certified state georgia,7.03,"athens,clarke,county,police,department,formed,merger,law,enforcement,agencies,city,athens,clarke,county,february,update,cleveland,lee,spruill,sr,sworn,new,chief,police,accpd,accredited,commission,accreditation,law,enforcement,agencies,named,gold,standard,agency,accpds,communications,center,calea,certified,reached,gold,standard,status,accpd,law,enforcement,agency,certified,state,georgia",0.00,athens
"athens is home to a growing number of young technology companies including docebo roundsphere and cogent education the city is also home to more established technology companies such as partner software peachtree medical billing and digital insight
",athens home growing number young technology companies including docebo roundsphere cogent education city home established technology companies partner software peachtree medical billing digital insight,5.22,"athens,home,growing,number,young,technology,companies,including,docebo,roundsphere,cogent,education,city,home,established,technology,companies,partner,software,peachtree,medical,billing,digital,insight",0.00,athens
"athens is home to several pharmaceutical manufacturing and biotechnology companies such as merial and janssen pharmaceuticals inc the university of georgia also hosts its own biotechnology research centers mostly from the lower east side of town bordering oconee county in may  rwdc industries a company that develops alternatives to single use plastics announced its plan to invest  million into the city and the surrounding area and acquire an existing  square foot facility
",athens home pharmaceutical manufacturing biotechnology companies merial janssen pharmaceuticals inc university georgia hosts biotechnology research centers lower east town bordering oconee county rwdc industries company develops alternatives single use plastics announced plan invest million city surrounding area acquire existing square foot facility,6.29,"athens,home,pharmaceutical,manufacturing,biotechnology,companies,merial,janssen,pharmaceuticals,inc,university,georgia,hosts,biotechnology,research,centers,lower,east,town,bordering,oconee,county,rwdc,industries,company,develops,alternatives,single,use,plastics,announced,plan,invest,million,city,surrounding,area,acquire,existing,square,foot,facility",0.00,athens
"athens music industry has also continued to grow as tweed recording acquired an  square foot facility in downtown athens to house their new recording studio academy and community space
",athens music industry continued grow tweed recording acquired square foot facility downtown athens house new recording studio academy community space,4.86,"athens,music,industry,continued,grow,tweed,recording,acquired,square,foot,facility,downtown,athens,house,new,recording,studio,academy,community,space",0.00,athens
"each spring there are bicycle races collectively known as the twilight series one of these races is the athens twilight criterium
",spring bicycle races collectively known twilight series races athens twilight criterium,7.69,"spring,bicycle,races,collectively,known,twilight,series,races,athens,twilight,criterium",0.00,athens
"in  the average household rent in athens was  the national average was  of the athens population  years of age or older  have earned a bachelors degree or higher
",average household rent athens national average athens population years age older earned bachelors degree higher,8.02,"average,household,rent,athens,national,average,athens,population,years,age,older,earned,bachelors,degree,higher",0.00,athens
"the music of athens georgia includes a wide variety of popular music and was an important part of the early evolution of alternative rock and new wave the city is well known as the home of chart topping bands like rem and the b s and several long time indie rock hip hop groups the athens music scene grew in the early s and later during the s with the georgia theatre and  watt club as the aforementioned bands scored breakout hits other notable bands were widespread panic dreams so real indigo girls vigilantes of love matthew sweet the method actors love tractor pylon flat duo jets the primates modern skirts the whigs squalls drive by truckers futurebirds bloodkin randall bramblett vic chesnutt tishamingo bubba sparxxx dead confederate and corey smith in his insider book party out of bounds the b s rem and the kids who rocked athens  rodger lyle brown described the indie rock scene in athens
",music athens georgia includes wide variety popular music important early evolution alternative rock new wave city known home chart topping bands like rem b long time indie rock hip hop groups athens music scene grew early later georgia theatre watt club aforementioned bands scored breakout hits notable bands widespread panic dreams real indigo girls vigilantes love matthew sweet method actors love tractor pylon flat duo jets primates modern skirts whigs squalls drive truckers futurebirds bloodkin randall bramblett vic chesnutt tishamingo bubba sparxxx dead confederate corey smith insider book party bounds b rem kids rocked athens rodger lyle brown described indie rock scene athens,6.20,"music,athens,georgia,includes,wide,variety,popular,music,important,early,evolution,alternative,rock,new,wave,city,known,home,chart,topping,bands,like,rem,b,long,time,indie,rock,hip,hop,groups,athens,music,scene,grew,early,later,georgia,theatre,watt,club,aforementioned,bands,scored,breakout,hits,notable,bands,widespread,panic,dreams,real,indigo,girls,vigilantes,love,matthew,sweet,method,actors,love,tractor,pylon,flat,duo,jets,primates,modern,skirts,whigs,squalls,drive,truckers,futurebirds,bloodkin,randall,bramblett,vic,chesnutt,tishamingo,bubba,sparxxx,dead,confederate,corey,smith,insider,book,party,bounds,b,rem,kids,rocked,athens,rodger,lyle,brown,described,indie,rock,scene,athens",0.00,athens
"national acts that have come out of athens include the whigs reptar danger mouse dreams so real jucifer servotron vic chesnutt drive by truckers elf power neutral milk hotel lera lynn the sunshine fix colt ford brantley gilbert harvey milk the olivia tremor control of montreal widespread panic perpetual groove five eight dead confederate thayer sarrano jet by day and mothers rem members michael stipe mike mills and peter buck still maintain residences in athens the photo book athens potluck by jason thrasher documents the towns musical legacy
",national acts come athens include whigs reptar danger mouse dreams real jucifer servotron vic chesnutt drive truckers elf power neutral milk hotel lera lynn sunshine fix colt ford brantley gilbert harvey milk olivia tremor control montreal widespread panic perpetual groove dead confederate thayer sarrano jet day mothers rem members michael stipe mike mills peter buck maintain residences athens photo book athens potluck jason thrasher documents towns musical legacy,3.64,"national,acts,come,athens,include,whigs,reptar,danger,mouse,dreams,real,jucifer,servotron,vic,chesnutt,drive,truckers,elf,power,neutral,milk,hotel,lera,lynn,sunshine,fix,colt,ford,brantley,gilbert,harvey,milk,olivia,tremor,control,montreal,widespread,panic,perpetual,groove,dead,confederate,thayer,sarrano,jet,day,mothers,rem,members,michael,stipe,mike,mills,peter,buck,maintain,residences,athens,photo,book,athens,potluck,jason,thrasher,documents,towns,musical,legacy",0.00,athens
"in september  the city launched the athens music walk of fame the public art walk spans a two city blocks loop around west washington and clayton streets connected by north lumpkin street guitar pick plaques were laid on the sidewalk in front of significant music venues like the georgia theatre the  watt club and the morton theatre the first round of inductees included the b s danger mouse drive by truckers the elephant  recording company hall johnson neal pattman pylon rem vic chesnutt and widespread panic
",september city launched athens music walk fame public art walk spans city blocks loop west washington clayton streets connected north lumpkin street guitar pick plaques laid sidewalk significant music venues like georgia theatre watt club morton theatre round inductees included b danger mouse drive truckers elephant recording company hall johnson neal pattman pylon rem vic chesnutt widespread panic,5.46,"september,city,launched,athens,music,walk,fame,public,art,walk,spans,city,blocks,loop,west,washington,clayton,streets,connected,north,lumpkin,street,guitar,pick,plaques,laid,sidewalk,significant,music,venues,like,georgia,theatre,watt,club,morton,theatre,round,inductees,included,b,danger,mouse,drive,truckers,elephant,recording,company,hall,johnson,neal,pattman,pylon,rem,vic,chesnutt,widespread,panic",0.00,athens
"the athens banner herald publishes daily uga has an independent weekly newspaper the red  black flagpole magazine is an alternative newspaper publishing weekly classic city news is a not for profit local news source
",athens banner herald publishes daily uga independent weekly newspaper red black flagpole magazine alternative newspaper publishing weekly classic city news profit local news source,4.63,"athens,banner,herald,publishes,daily,uga,independent,weekly,newspaper,red,black,flagpole,magazine,alternative,newspaper,publishing,weekly,classic,city,news,profit,local,news,source",0.00,athens
"athens is part of the atlanta television market  two atlanta market television stations wgtv  and wuvg  are licensed to athens though their transmitters are in the atlanta metropolitan area  wgtv broadcasts from the top of stone mountain from  until  uga operated a television station wuga tv  from studios on the uga campus but maintained its transmitter near toccoa its city of license what is now wgta has since moved its studios back to toccoa after being sold by uga
",athens atlanta television market atlanta market television stations wgtv wuvg licensed athens transmitters atlanta metropolitan area wgtv broadcasts stone mountain uga operated television station wuga tv studios uga campus maintained transmitter near toccoa city license wgta moved studios toccoa sold uga,8.05,"athens,atlanta,television,market,atlanta,market,television,stations,wgtv,wuvg,licensed,athens,transmitters,atlanta,metropolitan,area,wgtv,broadcasts,stone,mountain,uga,operated,television,station,wuga,tv,studios,uga,campus,maintained,transmitter,near,toccoa,city,license,wgta,moved,studios,toccoa,sold,uga",0.00,athens
"amateur radio has a long history in athens the athens radio club  meter repeater operates on mhz with a  offset and a pl tone of  its antenna is located at  agl on a tower in the northern part of the city  the athens radio club is affiliated with the american radio relay league and sponsors four community events each year 
",amateur radio long history athens athens radio club meter repeater operates mhz offset pl tone antenna located agl tower northern city athens radio club affiliated american radio relay league sponsors community events year,8.31,"amateur,radio,long,history,athens,athens,radio,club,meter,repeater,operates,mhz,offset,pl,tone,antenna,located,agl,tower,northern,city,athens,radio,club,affiliated,american,radio,relay,league,sponsors,community,events,year",0.00,athens
"the  film the green hand was shot in athens using local townspeople and students and faculty from the university of georgia as its cast the film had its premiere in athens in january  at an event attended by governor eurith d rivers
",film green hand shot athens local townspeople students faculty university georgia cast film premiere athens january event attended governor eurith rivers,9.01,"film,green,hand,shot,athens,local,townspeople,students,faculty,university,georgia,cast,film,premiere,athens,january,event,attended,governor,eurith,rivers",0.00,athens
"the  tv series breaking away was filmed in athens
",tv series breaking away filmed athens,6.00,"tv,series,breaking,away,filmed,athens",0.00,athens
"the movie darius goes west was shot in athens
",movie darius goes west shot athens,6.52,"movie,darius,goes,west,shot,athens",0.00,athens
"in  trouble with the curve was partially filmed at the globe in downtown athens in the same year the spectacular now was filmed entirely in athens and the surrounding area
",trouble curve partially filmed globe downtown athens year spectacular filmed entirely athens surrounding area,9.30,"trouble,curve,partially,filmed,globe,downtown,athens,year,spectacular,filmed,entirely,athens,surrounding,area",0.00,athens
"the city is the focus of yous highways yous route   us  us  us  and georgia state route   and near the eastern terminus of sr  and the southern terminus of sr  other state routes in athens are sr  and sr  which follow us  and us  respectively sr  which follows us  east and west of athens but deviates to us  bus to go through athens and sr  alt which starts at the sr  loop interchange at milledge avenue and follows milledge and prince avenues to us  which it follows to the north the sr  loop serves as a limited access perimeter the city is bisected east to west by broad streetatlanta highway  and north to south by milledge avenue  lumpkin street prince avenue  north avenue and oconee street  along with broad street are major thoroughfares radiating from downtown college station road and gaines school road are major thoroughfares on the east side of athens along with us  east  on the west side most major thoroughfares intersect us  bus  including alps roadhawthorne avenue epps bridge parkway and timothy roadmitchell bridge road
",city focus yous highways yous route georgia state route near eastern terminus sr southern terminus sr state routes athens sr sr follow respectively sr follows east west athens deviates bus athens sr alt starts sr loop interchange milledge avenue follows milledge prince avenues follows north sr loop serves limited access perimeter city bisected east west broad streetatlanta highway north south milledge avenue lumpkin street prince avenue north avenue oconee street broad street major thoroughfares radiating downtown college station road gaines school road major thoroughfares east athens east west major thoroughfares intersect bus including alps roadhawthorne avenue epps bridge parkway timothy roadmitchell bridge road,7.20,"city,focus,yous,highways,yous,route,georgia,state,route,near,eastern,terminus,sr,southern,terminus,sr,state,routes,athens,sr,sr,follow,respectively,sr,follows,east,west,athens,deviates,bus,athens,sr,alt,starts,sr,loop,interchange,milledge,avenue,follows,milledge,prince,avenues,follows,north,sr,loop,serves,limited,access,perimeter,city,bisected,east,west,broad,streetatlanta,highway,north,south,milledge,avenue,lumpkin,street,prince,avenue,north,avenue,oconee,street,broad,street,major,thoroughfares,radiating,downtown,college,station,road,gaines,school,road,major,thoroughfares,east,athens,east,west,major,thoroughfares,intersect,bus,including,alps,roadhawthorne,avenue,epps,bridge,parkway,timothy,roadmitchell,bridge,road",0.00,athens
"athens ben epps airport  has been operational since  it is east of downtown outside georgia state route  loop and north of us route  ahn qualifies for air service to be provided under the essential air service provisions seaport airlines provides commercial air service to nashville international airport tn  until  georgia skies and wings air provided commercial air service to atlanta and until   us airways provided service to charlotte hartsfield jackson international airport  is the primary point of departure and arrival for athenians due to the relative lack of air service to ahn
",athens ben epps airport operational east downtown outside georgia state route loop north route ahn qualifies air service provided essential air service provisions seaport airlines provides commercial air service nashville international airport tn georgia skies wings air provided commercial air service atlanta airways provided service charlotte hartsfield jackson international airport primary point departure arrival athenians relative lack air service ahn,5.43,"athens,ben,epps,airport,operational,east,downtown,outside,georgia,state,route,loop,north,route,ahn,qualifies,air,service,provided,essential,air,service,provisions,seaport,airlines,provides,commercial,air,service,nashville,international,airport,tn,georgia,skies,wings,air,provided,commercial,air,service,atlanta,airways,provided,service,charlotte,hartsfield,jackson,international,airport,primary,point,departure,arrival,athenians,relative,lack,air,service,ahn",0.00,athens
"athens encourages the use of alternative transportation bike lanes are provided on major thoroughfares a rail to trail redevelopment is being considered to connect downtown with the east side organizations such as bikeathens support and encourage biking skateboarding and small scooters are also common sights around the uga campus and downtown
",athens encourages use alternative transportation bike lanes provided major thoroughfares rail trail redevelopment considered connect downtown east organizations bikeathens support encourage biking skateboarding small scooters common sights uga campus downtown,6.09,"athens,encourages,use,alternative,transportation,bike,lanes,provided,major,thoroughfares,rail,trail,redevelopment,considered,connect,downtown,east,organizations,bikeathens,support,encourage,biking,skateboarding,small,scooters,common,sights,uga,campus,downtown",0.00,athens
"athens transit provides intracity transit seven days per week uga campus transit provides fare free transit around the university of georgia campus milledge avenue and prince avenue on the way to ugas newest campus the health sciences campus southeastern stages a subsidiary of greyhound lines provides intercity bus services low cost curbside bus service to atlanta and charlotte is also provided by megabus
",athens transit provides intracity transit seven days week uga campus transit provides fare free transit university georgia campus milledge avenue prince avenue way ugas newest campus health sciences campus southeastern stages subsidiary greyhound lines provides intercity bus services low cost curbside bus service atlanta charlotte provided megabus,3.91,"athens,transit,provides,intracity,transit,seven,days,week,uga,campus,transit,provides,fare,free,transit,university,georgia,campus,milledge,avenue,prince,avenue,way,ugas,newest,campus,health,sciences,campus,southeastern,stages,subsidiary,greyhound,lines,provides,intercity,bus,services,low,cost,curbside,bus,service,atlanta,charlotte,provided,megabus",0.00,athens
"athens has no direct passenger rail service the closest amtrak stations are in atlanta gainesville and toccoa until the s and s the seaboard air line railroads daily cotton blossom  washington   atlanta silver comet new york   birmingham and tidewater  norfolk   birmingham service made stops at the sals athens depot at college avenue and ware street north of downtown  train service to athens ended with the last run of the silver comet in  until the early s the southern railway ran a passenger service to lula on the southerns main line northeast of gainesville into the same period the central railroad of georgia ran mixed passenger and freight trains south to macons terminal station
",athens direct passenger rail service closest amtrak stations atlanta gainesville toccoa seaboard air line railroads daily cotton blossom washington atlanta silver comet new york birmingham tidewater norfolk birmingham service stops sals athens depot college avenue ware street north downtown train service athens ended run silver comet early southern railway ran passenger service lula southerns main line northeast gainesville period central railroad georgia ran mixed passenger freight trains south macons terminal station,6.08,"athens,direct,passenger,rail,service,closest,amtrak,stations,atlanta,gainesville,toccoa,seaboard,air,line,railroads,daily,cotton,blossom,washington,atlanta,silver,comet,new,york,birmingham,tidewater,norfolk,birmingham,service,stops,sals,athens,depot,college,avenue,ware,street,north,downtown,train,service,athens,ended,run,silver,comet,early,southern,railway,ran,passenger,service,lula,southerns,main,line,northeast,gainesville,period,central,railroad,georgia,ran,mixed,passenger,freight,trains,south,macons,terminal,station",0.00,athens
